model,K,total_r2,predicted_r2,obs_total,obs_predicted,refits,test_months
CA0,1,-0.000935385132013522,-0.0009645353991645234,348713,348713,7,83
CA0,2,-0.0013483233992888088,-0.0014495644501220095,348713,348713,7,83
CA0,3,-0.0009058009839408854,-0.0010264508098409841,348713,348713,7,83
CA0,4,0.0001589427056611914,1.801183538407969e-05,348713,348713,7,83
CA0,5,3.989964787609601e-05,-5.697912917779213e-05,348713,348713,7,83
CA0,6,-0.0017120862592787667,-0.001886597067236817,348713,348713,7,83
CA1,1,-0.0027363362235974797,-0.002923522307688442,348713,348713,7,83
CA1,2,-0.002010748140173879,-0.002241737170915137,348713,348713,7,83
CA1,3,0.0009540525918962928,0.0003530964427086447,348713,348713,7,83
CA1,4,-0.004675580118959521,-0.005285752461376747,348713,348713,7,83
CA1,5,0.00021108207519915378,-0.00038879189193741226,348713,348713,7,83
CA1,6,-0.009807396110785849,-0.010360343362074254,348713,348713,7,83
CA2,1,0.0002683317815239672,0.00026460689020302297,348713,348713,7,83
CA2,2,0.0013447768807935967,0.0013403869097500243,348713,348713,7,83
CA2,3,-0.0004959560487980408,-0.0005211542013365822,348713,348713,7,83
CA2,4,-0.00365343344645086,-0.003673901257575274,348713,348713,7,83
CA2,5,-0.003096083597370791,-0.0031405895075626855,348713,348713,7,83
CA2,6,-0.004735274985215199,-0.0047632786987192866,348713,348713,7,83
CA3,1,-0.00029729165624470255,-0.0003267533692525859,348713,348713,7,83
CA3,2,-0.002197442916288761,-0.0022781315773254818,348713,348713,7,83
CA3,3,-0.011586194721170173,-0.011776895435003487,348713,348713,7,83
CA3,4,-0.008586201956228168,-0.008654404985814823,348713,348713,7,83
CA3,5,-0.017283251482128836,-0.017523605777099993,348713,348713,7,83
CA3,6,-0.006770776008788504,-0.006947994356466092,348713,348713,7,83
FF,1,0.1567795751301575,-0.013092362253068313,286400,286400,7,83
FF,2,0.14032580263851913,-0.013521875047881826,286400,286400,7,83
FF,3,0.12058482585336583,-0.013652468408822394,286400,286400,7,83
FF,4,0.10303133258131303,-0.01831715264449052,286400,286400,7,83
FF,5,0.08195552532360195,-0.018972857755496397,286400,286400,7,83
FF,6,0.06449475815311934,-0.020810547075537755,286400,286400,7,83
IPCA,1,0.0029904638956269602,-3.3664844306446895e-05,348713,348713,7,83
IPCA,2,0.004449143931385846,-4.508944761782985e-05,348713,348713,7,83
IPCA,3,0.006046924685247368,-0.0004522756160469932,348713,348713,7,83
IPCA,4,0.006696345824723338,-0.0005890233241114817,348713,348713,7,83
IPCA,5,0.008655689071913275,-0.04557761844977093,348713,348713,7,83
IPCA,6,0.009562281907641745,-0.07265763189934571,348713,348713,7,83
PCA,1,0.11816563651456236,-0.007386927517503139,348713,348713,7,83
PCA,2,0.12499409302881859,-0.006790045744249573,348713,348713,7,83
PCA,3,0.14460035156989348,-0.007655905976791777,348713,348713,7,83
PCA,4,0.15109655739361005,-0.007174502328010313,348713,348713,7,83
PCA,5,0.15639631075452531,-0.007084044665092382,348713,348713,7,83
PCA,6,0.15928253948326654,-0.006874481312801439,348713,348713,7,83
